,Astrocyte,B_cell,BM,BM & Prog.,Chondrocytes,CMP,DC,Embryonic_stem_cells,Endothelial_cells,Epithelial_cells,Erythroblast,Fibroblasts,Gametocytes,GMP,Hepatocytes,HSC_-G-CSF,HSC_CD34+,iPS_cells,Keratinocytes,Macrophage,MEP,Monocyte,MSC,Myelocyte,Neuroepithelial_cell,Neurons,Neutrophils,NK_cell,Osteoblasts,Platelets,Pre-B_cell_CD34-,Pro-B_cell_CD34+,Pro-Myelocyte,Smooth_muscle_cells,T_cells,Tissue_stem_cells
0,0,17,0,0,0,1,1,0,0,5,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,4,787,0,0,22,2,0,0,56837,1
1,0,62,0,0,0,0,2,0,0,2,0,0,0,1,0,2,0,0,0,0,0,3,0,0,0,1,0,8224,0,0,19,1,0,0,42543,1
2,0,34449,0,0,1,1,16,0,0,5,0,0,0,12,0,8,5,0,0,7,0,29,0,0,0,0,10,168,0,0,57,26,1,1,773,5
3,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,28472,0,0,1,0,0,0,6229,1
4,2,166,0,1,154,2,125,9,50,21361,0,389,0,5,103,6,14,12,7,231,0,85,0,1,1,33,28,236,3,0,39,16,20,79,443,684
5,1,48,0,1,11,2,4,0,3,7,0,18,0,3,0,1,3,0,0,6,0,8,0,0,1,2,8,642,0,0,21,3,1,6,21515,15
6,0,19,0,0,7395,0,8,1,2,77,0,5775,0,0,0,0,3,0,0,82,0,17,27,0,0,3,0,35,21,0,0,1,0,1426,110,6743
7,0,26,1,0,2,0,94,0,0,4,0,1,0,1,0,635,2,0,0,598,0,13365,0,38,0,0,3427,141,0,2,209,1,2,0,306,5
8,0,15,0,1,5,0,7,1,2,47,0,6,0,1,2,0,3,2,3,4,0,7,1,0,0,0,4,911,1,0,16,1,1,1,13696,15
9,0,71,1,0,0,0,1157,0,0,0,0,0,0,26,0,5,1,0,0,7025,0,5871,0,0,0,1,37,47,0,0,46,0,0,2,120,13
10,0,33,0,0,1,5,5,0,1,2,0,1,0,11,0,8,2,0,0,1,0,26,0,0,0,0,4,1403,0,0,18,2,0,0,11875,4
11,0,13,0,0,26,0,14,0,6873,27,0,24,0,0,0,0,8,0,0,30,0,27,0,0,0,1,3,26,0,0,0,1,0,26,122,206
12,0,14,0,0,249,0,5,0,30,19,0,143,0,0,2,0,0,0,0,10,0,5,10,0,0,7,4,31,9,0,3,0,0,671,107,4552
13,0,4065,2,0,38,3,38,1,0,89,0,47,0,15,0,2,27,0,1,35,0,106,1,0,0,6,33,98,1,0,316,40,10,11,421,79
14,0,9,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,83,0,1,1,1,0,0,5080,0
15,0,65,0,1,72,4,129,17,71,1205,0,53,3,24,1219,2,5,58,1,284,0,64,1,1,4,34,3,93,3,0,17,3,7,30,536,154
16,0,1875,0,3,0,0,31,0,1,49,0,3,0,35,0,1,0,0,0,150,0,140,4,1,0,2,0,273,0,0,77,26,2,0,1107,1
17,0,50,1,0,14,1,10,4,12,3001,0,9,0,1,116,1,1,38,0,28,0,27,0,0,0,1,3,49,0,0,28,0,3,5,144,45
18,0,97,0,0,1,1466,11,0,0,19,0,5,0,64,0,6,79,0,0,36,1,164,0,2,0,0,110,776,0,1,9,1,5,3,120,8
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,394,0,0,14,0,0,1,2439,0
20,0,24,0,0,2,3,0,0,5,1,0,1,0,1,0,11,1,0,0,2,1,3,0,0,0,0,2,350,0,1299,1,0,0,0,1019,4
21,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,268,0,0,7,0,0,0,2141,0
22,0,3,0,0,1,1,3,0,1,0,1,3,0,1,0,0,0,1,0,2,0,0,0,0,0,0,3,115,0,0,1,1,0,0,1821,2
23,0,5,9,0,2,0,3,0,0,0,43,4,0,1,0,70,0,0,0,5,0,13,0,2,0,0,27,399,0,0,31,0,3,1,1273,4
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,64,0,0,2,0,0,0,1610,0
25,0,0,0,0,3,0,1,0,0,894,0,15,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,0,0,0,0,0,2,5,17
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,55,0,0,0,0,0,0,828,0
27,2,8,0,0,12,0,2,0,0,17,0,5,0,0,0,0,0,0,0,3,0,3,0,0,0,459,0,4,0,0,0,1,0,12,29,63
28,0,136,0,0,0,0,3,0,0,0,0,0,0,40,0,1,0,0,0,11,0,246,0,0,0,0,0,5,0,0,91,0,0,0,19,0
29,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,5,0,0,0,0,0,0,491,0
30,31,0,0,0,5,1,0,7,4,59,0,27,1,0,30,0,3,9,0,6,0,1,0,0,20,192,1,9,1,0,0,0,0,17,34,29
31,0,0,0,0,0,0,0,0,1,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
32,1,0,0,0,2,0,0,2,1,72,0,1,1,0,158,0,0,1,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,2,5,4
33,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
34,0,191,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,3,0,0,0,4,0
35,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,40
38,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
